Año;Mes;NCM;Pdes;Pnet(kg);FOB(u$s)
2024;01;01012100;203;s;s2
2024;01;01012100;212;1470,000;545000,00
2024;01;01012100;225;s;s2
2024;01;01012100;999;1500,000;14300,00
2024;01;01012900;203;s;s3
2024;01;01012900;208;s;s2
2024;01;01012900;212;92100,000;1485400,00
2024;01;01012900;218;s;s3
2024;01;01012900;225;6000,000;71100,00
2024;01;01012900;315;s;s2
2024;01;01012900;331;s;s4
2024;01;01012900;332;s;s3
2024;01;01012900;406;s;s2
2024;01;01012900;410;s;s2
2024;01;01012900;412;s;s2
2024;01;01012900;417;s;s2
2024;01;01012900;426;9250,000;182800,00
2024;01;01012900;430;s;s2
2024;01;01012900;999;33400,000;452000,00
2024;01;01031000;221;s;s3
2024;01;01051110;225;s;s4
2024;01;01051190;221;s;s3
2024;01;01061400;410;s;s1
2024;01;01061900;203;s;s1
2024;01;01061900;205;s;s1
2024;01;01061900;209;s;s1
2024;01;01061900;212;226,000;3830,00
2024;01;01061900;218;s;s1
2024;01;01061900;222;s;s1
2024;01;01061900;223;s;s1
2024;01;01061900;312;s;s1
2024;01;01061900;335;s;s1
2024;01;01061900;409;s;s1
2024;01;01061900;410;171,000;1876,00
2024;01;01061900;417;s;s1
2024;01;01061900;425;s;s1
2024;01;01061900;426;s;s1
2024;01;01061900;430;s;s1
2024;01;01061900;438;s;s1
2024;01;01061900;999;544,000;7120,00
2024;01;01064100;417;s;s1
2024;01;01064900;225;s;s1
2024;01;02012090;333;s;s2
2024;01;02012090;337;s;s1
2024;01;02012090;341;s;s2
2024;01;02012090;423;s;s2
2024;01;02012090;430;s;s3
2024;01;02012090;999;9941,200;118816,11
2024;01;02013000;134;s;s3
2024;01;02013000;203;207097,160;2368760,83
2024;01;02013000;204;s;s2
2024;01;02013000;205;9189,870;118241,45
2024;01;02013000;208;1861776,680;12961328,88
2024;01;02013000;210;s;s3
2024;01;02013000;212;562301,250;4244158,30
2024;01;02013000;218;202829,090;1436183,93
2024;01;02013000;222;42796,440;517849,28
2024;01;02013000;244;s;s4
2024;01;02013000;310;134853,860;551554,99
2024;01;02013000;319;1596227,820;9326120,60
2024;01;02013000;322;5578,350;47301,65
2024;01;02013000;326;s;s3
2024;01;02013000;331;s;s3
2024;01;02013000;333;28431,110;295990,81
2024;01;02013000;335;s;s2
2024;01;02013000;337;s;s2
2024;01;02013000;341;16107,770;190499,72
2024;01;02013000;405;s;s2
2024;01;02013000;410;126773,200;1196418,58
2024;01;02013000;412;s;s3
2024;01;02013000;413;s;s4
2024;01;02013000;417;372416,810;3909960,98
2024;01;02013000;422;s;s4
2024;01;02013000;423;931236,050;9533343,13
2024;01;02013000;425;54307,940;430918,85
2024;01;02013000;426;44953,860;527344,29
2024;01;02013000;430;69404,700;955970,89
2024;01;02013000;438;1907232,000;18804189,67
2024;01;02013000;444;s;s2
2024;01;02013000;445;s;s2
2024;01;02013000;999;110639,880;988164,27
2024;01;02022010;310;198205,320;454225,58
2024;01;02022020;310;75774,690;154293,90
2024;01;02022090;149;s;s3
2024;01;02022090;310;11785176,210;18932670,46
2024;01;02022090;322;s;s1
2024;01;02022090;325;s;s2
2024;01;02022090;326;s;s1
2024;01;02022090;331;s;s2
2024;01;02022090;341;24614,210;46936,91
2024;01;02022090;999;46218,730;77573,78
2024;01;02023000;201;s;s1
2024;01;02023000;203;473145,770;4582019,22
2024;01;02023000;204;113330,290;440692,85
2024;01;02023000;207;s;s1
2024;01;02023000;212;827941,630;4364064,01
2024;01;02023000;218;147258,240;760678,01
